pl/bl,interp,input_width,input_height,output_width,output_height,layout,dtype,gpu_time(us)
NV12PitchLinear,Nearest,640,360,2560,1440,NHWC_BGR,Float32,60.751873
NV12PitchLinear,Bilinear,640,360,2560,1440,NHWC_BGR,Float32,98.354179
NV12PitchLinear,Nearest,640,360,3840,2160,NHWC_BGR,Float32,128.224258
NV12PitchLinear,Bilinear,640,360,3840,2160,NHWC_BGR,Float32,218.776581
NV12PitchLinear,Nearest,1280,720,1920,1080,NHWC_BGR,Float32,39.142399
NV12PitchLinear,Bilinear,1280,720,1920,1080,NHWC_BGR,Float32,59.113472
NV12PitchLinear,Nearest,1280,720,2560,1440,NHWC_BGR,Float32,65.186813
NV12PitchLinear,Bilinear,1280,720,2560,1440,NHWC_BGR,Float32,100.461571
NV12PitchLinear,Nearest,1280,720,3840,2160,NHWC_BGR,Float32,137.129990
NV12PitchLinear,Bilinear,1280,720,3840,2160,NHWC_BGR,Float32,220.988419
NV12PitchLinear,Nearest,1920,1080,2560,1440,NHWC_BGR,Float32,67.215363
NV12PitchLinear,Bilinear,1920,1080,2560,1440,NHWC_BGR,Float32,103.286781
NV12PitchLinear,Nearest,1920,1080,3840,2160,NHWC_BGR,Float32,141.754364
NV12PitchLinear,Bilinear,1920,1080,3840,2160,NHWC_BGR,Float32,222.921722
NV12PitchLinear,Nearest,2560,1440,3840,2160,NHWC_BGR,Float32,144.751617
NV12PitchLinear,Bilinear,2560,1440,3840,2160,NHWC_BGR,Float32,227.022842
NV12PitchLinear,Nearest,3840,2160,2560,1440,NHWC_RGB,Float32,75.714561
NV12PitchLinear,Bilinear,3840,2160,2560,1440,NHWC_RGB,Float32,109.662209
NV12PitchLinear,Nearest,3840,2160,1920,1080,NHWC_RGB,Float32,47.386623
NV12PitchLinear,Bilinear,3840,2160,1920,1080,NHWC_RGB,Float32,67.580925
NV12PitchLinear,Nearest,3840,2160,1280,720,NHWC_RGB,Float32,20.397057
NV12PitchLinear,Bilinear,3840,2160,1280,720,NHWC_RGB,Float32,35.364864
NV12PitchLinear,Nearest,3840,2160,640,360,NHWC_RGB,Float32,6.678528
NV12PitchLinear,Bilinear,3840,2160,640,360,NHWC_RGB,Float32,9.584640
NV12PitchLinear,Nearest,2560,1440,1920,1080,NHWC_RGB,Float32,42.900478
NV12PitchLinear,Bilinear,2560,1440,1920,1080,NHWC_RGB,Float32,61.472767
NV12PitchLinear,Nearest,2560,1440,1280,720,NHWC_RGB,Float32,18.440191
NV12PitchLinear,Bilinear,2560,1440,1280,720,NHWC_RGB,Float32,29.647873
NV12PitchLinear,Nearest,2560,1440,640,360,NHWC_RGB,Float32,6.541312
NV12PitchLinear,Bilinear,2560,1440,640,360,NHWC_RGB,Float32,9.419776
NV12PitchLinear,Nearest,1920,1080,1280,720,NHWC_RGB,Float32,17.263617
NV12PitchLinear,Bilinear,1920,1080,1280,720,NHWC_RGB,Float32,27.744255
NV12PitchLinear,Nearest,1920,1080,640,360,NHWC_RGB,Float32,6.612992
NV12PitchLinear,Bilinear,1920,1080,640,360,NHWC_RGB,Float32,9.500672
NV12PitchLinear,Nearest,1280,720,640,360,NHWC_RGB,Float32,6.591488
NV12PitchLinear,Bilinear,1280,720,640,360,NHWC_RGB,Float32,9.398272
NV12PitchLinear,Nearest,640,360,1280,720,NHWC_RGB,Float32,17.188864
NV12PitchLinear,Bilinear,640,360,1280,720,NHWC_RGB,Float32,27.132929
NV12PitchLinear,Nearest,640,360,1920,1080,NHWC_RGB,Float32,36.321281
NV12PitchLinear,Bilinear,640,360,1920,1080,NHWC_RGB,Float32,57.037823
NV12PitchLinear,Nearest,640,360,2560,1440,NHWC_RGB,Float32,60.780544
NV12PitchLinear,Bilinear,640,360,2560,1440,NHWC_RGB,Float32,98.527229
NV12PitchLinear,Nearest,640,360,3840,2160,NHWC_RGB,Float32,128.493561
NV12PitchLinear,Bilinear,640,360,3840,2160,NHWC_RGB,Float32,217.968643
NV12PitchLinear,Nearest,1280,720,1920,1080,NHWC_RGB,Float32,39.139328
NV12PitchLinear,Bilinear,1280,720,1920,1080,NHWC_RGB,Float32,59.237377
NV12PitchLinear,Nearest,1280,720,2560,1440,NHWC_RGB,Float32,65.217537
NV12PitchLinear,Bilinear,1280,720,2560,1440,NHWC_RGB,Float32,100.511742
NV12PitchLinear,Nearest,1280,720,3840,2160,NHWC_RGB,Float32,137.612289
NV12PitchLinear,Bilinear,1280,720,3840,2160,NHWC_RGB,Float32,220.338181
NV12PitchLinear,Nearest,1920,1080,2560,1440,NHWC_RGB,Float32,67.252228
NV12PitchLinear,Bilinear,1920,1080,2560,1440,NHWC_RGB,Float32,103.384064
NV12PitchLinear,Nearest,1920,1080,3840,2160,NHWC_RGB,Float32,141.885437
NV12PitchLinear,Bilinear,1920,1080,3840,2160,NHWC_RGB,Float32,222.194687
NV12PitchLinear,Nearest,2560,1440,3840,2160,NHWC_RGB,Float32,144.730118
NV12PitchLinear,Bilinear,2560,1440,3840,2160,NHWC_RGB,Float32,227.281921
NV12PitchLinear,Nearest,3840,2160,2560,1440,NCHW16_BGR,Float32,546.013184
NV12PitchLinear,Bilinear,3840,2160,2560,1440,NCHW16_BGR,Float32,522.721252
NV12PitchLinear,Nearest,3840,2160,1920,1080,NCHW16_BGR,Float32,306.853882
NV12PitchLinear,Bilinear,3840,2160,1920,1080,NCHW16_BGR,Float32,297.629700
NV12PitchLinear,Nearest,3840,2160,1280,720,NCHW16_BGR,Float32,138.812408
NV12PitchLinear,Bilinear,3840,2160,1280,720,NCHW16_BGR,Float32,134.846466
NV12PitchLinear,Nearest,3840,2160,640,360,NCHW16_BGR,Float32,40.743935
NV12PitchLinear,Bilinear,3840,2160,640,360,NCHW16_BGR,Float32,38.817791
NV12PitchLinear,Nearest,2560,1440,1920,1080,NCHW16_BGR,Float32,306.758667
NV12PitchLinear,Bilinear,2560,1440,1920,1080,NCHW16_BGR,Float32,294.557709
NV12PitchLinear,Nearest,2560,1440,1280,720,NCHW16_BGR,Float32,138.376190
NV12PitchLinear,Bilinear,2560,1440,1280,720,NCHW16_BGR,Float32,134.878204
NV12PitchLinear,Nearest,2560,1440,640,360,NCHW16_BGR,Float32,40.438786
NV12PitchLinear,Bilinear,2560,1440,640,360,NCHW16_BGR,Float32,38.792191
NV12PitchLinear,Nearest,1920,1080,1280,720,NCHW16_BGR,Float32,138.595322
NV12PitchLinear,Bilinear,1920,1080,1280,720,NCHW16_BGR,Float32,133.217285
NV12PitchLinear,Nearest,1920,1080,640,360,NCHW16_BGR,Float32,40.551422
NV12PitchLinear,Bilinear,1920,1080,640,360,NCHW16_BGR,Float32,38.893566
NV12PitchLinear,Nearest,1280,720,640,360,NCHW16_BGR,Float32,40.416256
NV12PitchLinear,Bilinear,1280,720,640,360,NCHW16_BGR,Float32,39.025665
NV12PitchLinear,Nearest,640,360,1280,720,NCHW16_BGR,Float32,137.954300
NV12PitchLinear,Bilinear,640,360,1280,720,NCHW16_BGR,Float32,130.434052
NV12PitchLinear,Nearest,640,360,1920,1080,NCHW16_BGR,Float32,305.848328
NV12PitchLinear,Bilinear,640,360,1920,1080,NCHW16_BGR,Float32,288.017395
NV12PitchLinear,Nearest,640,360,2560,1440,NCHW16_BGR,Float32,542.146545
NV12PitchLinear,Bilinear,640,360,2560,1440,NCHW16_BGR,Float32,513.042419
NV12PitchLinear,Nearest,640,360,3840,2160,NCHW16_BGR,Float32,1197.980713
NV12PitchLinear,Bilinear,640,360,3840,2160,NCHW16_BGR,Float32,1137.490967
NV12PitchLinear,Nearest,1280,720,1920,1080,NCHW16_BGR,Float32,306.472961
NV12PitchLinear,Bilinear,1280,720,1920,1080,NCHW16_BGR,Float32,290.198517
NV12PitchLinear,Nearest,1280,720,2560,1440,NCHW16_BGR,Float32,543.654907
NV12PitchLinear,Bilinear,1280,720,2560,1440,NCHW16_BGR,Float32,511.271942
NV12PitchLinear,Nearest,1280,720,3840,2160,NCHW16_BGR,Float32,1203.796021
NV12PitchLinear,Bilinear,1280,720,3840,2160,NCHW16_BGR,Float32,1131.306030
NV12PitchLinear,Nearest,1920,1080,2560,1440,NCHW16_BGR,Float32,543.461365
NV12PitchLinear,Bilinear,1920,1080,2560,1440,NCHW16_BGR,Float32,514.098206
NV12PitchLinear,Nearest,1920,1080,3840,2160,NCHW16_BGR,Float32,1206.058960
NV12PitchLinear,Bilinear,1920,1080,3840,2160,NCHW16_BGR,Float32,1134.119995
NV12PitchLinear,Nearest,2560,1440,3840,2160,NCHW16_BGR,Float32,1208.094727
NV12PitchLinear,Bilinear,2560,1440,3840,2160,NCHW16_BGR,Float32,1139.340332
NV12PitchLinear,Nearest,3840,2160,2560,1440,NCHW16_RGB,Float32,545.879028
NV12PitchLinear,Bilinear,3840,2160,2560,1440,NCHW16_RGB,Float32,522.365967
NV12PitchLinear,Nearest,3840,2160,1920,1080,NCHW16_RGB,Float32,306.630646
NV12PitchLinear,Bilinear,3840,2160,1920,1080,NCHW16_RGB,Float32,298.178558
NV12PitchLinear,Nearest,3840,2160,1280,720,NCHW16_RGB,Float32,138.527740
NV12PitchLinear,Bilinear,3840,2160,1280,720,NCHW16_RGB,Float32,134.969345
NV12PitchLinear,Nearest,3840,2160,640,360,NCHW16_RGB,Float32,40.659969
NV12PitchLinear,Bilinear,3840,2160,640,360,NCHW16_RGB,Float32,39.177216
NV12PitchLinear,Nearest,2560,1440,1920,1080,NCHW16_RGB,Float32,307.190796
NV12PitchLinear,Bilinear,2560,1440,1920,1080,NCHW16_RGB,Float32,294.647797
NV12PitchLinear,Nearest,2560,1440,1280,720,NCHW16_RGB,Float32,138.324997
NV12PitchLinear,Bilinear,2560,1440,1280,720,NCHW16_RGB,Float32,134.766586
NV12PitchLinear,Nearest,2560,1440,640,360,NCHW16_RGB,Float32,40.499199
NV12PitchLinear,Bilinear,2560,1440,640,360,NCHW16_RGB,Float32,38.810623
NV12PitchLinear,Nearest,1920,1080,1280,720,NCHW16_RGB,Float32,138.644485
NV12PitchLinear,Bilinear,1920,1080,1280,720,NCHW16_RGB,Float32,133.189636
NV12PitchLinear,Nearest,1920,1080,640,360,NCHW16_RGB,Float32,40.552448
NV12PitchLinear,Bilinear,1920,1080,640,360,NCHW16_RGB,Float32,38.908928
NV12PitchLinear,Nearest,1280,720,640,360,NCHW16_RGB,Float32,40.436737
NV12PitchLinear,Bilinear,1280,720,640,360,NCHW16_RGB,Float32,39.027714
NV12PitchLinear,Nearest,640,360,1280,720,NCHW16_RGB,Float32,137.945084
NV12PitchLinear,Bilinear,640,360,1280,720,NCHW16_RGB,Float32,130.495483
NV12PitchLinear,Nearest,640,360,1920,1080,NCHW16_RGB,Float32,305.924103
NV12PitchLinear,Bilinear,640,360,1920,1080,NCHW16_RGB,Float32,288.060425
NV12PitchLinear,Nearest,640,360,2560,1440,NCHW16_RGB,Float32,542.141418
NV12PitchLinear,Bilinear,640,360,2560,1440,NCHW16_RGB,Float32,513.029114
NV12PitchLinear,Nearest,640,360,3840,2160,NCHW16_RGB,Float32,1197.901855
NV12PitchLinear,Bilinear,640,360,3840,2160,NCHW16_RGB,Float32,1137.542114
NV12PitchLinear,Nearest,1280,720,1920,1080,NCHW16_RGB,Float32,306.399231
NV12PitchLinear,Bilinear,1280,720,1920,1080,NCHW16_RGB,Float32,290.195465
NV12PitchLinear,Nearest,1280,720,2560,1440,NCHW16_RGB,Float32,543.609863
NV12PitchLinear,Bilinear,1280,720,2560,1440,NCHW16_RGB,Float32,511.334412
NV12PitchLinear,Nearest,1280,720,3840,2160,NCHW16_RGB,Float32,1203.760132
NV12PitchLinear,Bilinear,1280,720,3840,2160,NCHW16_RGB,Float32,1131.403320
NV12PitchLinear,Nearest,1920,1080,2560,1440,NCHW16_RGB,Float32,543.449097
NV12PitchLinear,Bilinear,1920,1080,2560,1440,NCHW16_RGB,Float32,514.177002
NV12PitchLinear,Nearest,1920,1080,3840,2160,NCHW16_RGB,Float32,1206.245361
NV12PitchLinear,Bilinear,1920,1080,3840,2160,NCHW16_RGB,Float32,1134.244873
NV12PitchLinear,Nearest,2560,1440,3840,2160,NCHW16_RGB,Float32,1208.020996
NV12PitchLinear,Bilinear,2560,1440,3840,2160,NCHW16_RGB,Float32,1139.566650
NV12PitchLinear,Nearest,3840,2160,2560,1440,NCHW_BGR,Float32,79.396866
NV12PitchLinear,Bilinear,3840,2160,2560,1440,NCHW_BGR,Float32,144.007172
NV12PitchLinear,Nearest,3840,2160,1920,1080,NCHW_BGR,Float32,48.370689
NV12PitchLinear,Bilinear,3840,2160,1920,1080,NCHW_BGR,Float32,86.243324
NV12PitchLinear,Nearest,3840,2160,1280,720,NCHW_BGR,Float32,16.899073
NV12PitchLinear,Bilinear,3840,2160,1280,720,NCHW_BGR,Float32,46.241791
NV12PitchLinear,Nearest,3840,2160,640,360,NCHW_BGR,Float32,7.097344
NV12PitchLinear,Bilinear,3840,2160,640,360,NCHW_BGR,Float32,11.785216
NV12PitchLinear,Nearest,2560,1440,1920,1080,NCHW_BGR,Float32,44.895233
NV12PitchLinear,Bilinear,2560,1440,1920,1080,NCHW_BGR,Float32,80.566269
NV12PitchLinear,Nearest,2560,1440,1280,720,NCHW_BGR,Float32,15.748096
NV12PitchLinear,Bilinear,2560,1440,1280,720,NCHW_BGR,Float32,36.381695
NV12PitchLinear,Nearest,2560,1440,640,360,NCHW_BGR,Float32,6.821888
NV12PitchLinear,Bilinear,2560,1440,640,360,NCHW_BGR,Float32,12.050432
NV12PitchLinear,Nearest,1920,1080,1280,720,NCHW_BGR,Float32,15.833088
NV12PitchLinear,Bilinear,1920,1080,1280,720,NCHW_BGR,Float32,33.939457
NV12PitchLinear,Nearest,1920,1080,640,360,NCHW_BGR,Float32,6.525952
NV12PitchLinear,Bilinear,1920,1080,640,360,NCHW_BGR,Float32,11.333632
NV12PitchLinear,Nearest,1280,720,640,360,NCHW_BGR,Float32,6.403072
NV12PitchLinear,Bilinear,1280,720,640,360,NCHW_BGR,Float32,11.075584
NV12PitchLinear,Nearest,640,360,1280,720,NCHW_BGR,Float32,15.160320
NV12PitchLinear,Bilinear,640,360,1280,720,NCHW_BGR,Float32,32.310272
NV12PitchLinear,Nearest,640,360,1920,1080,NCHW_BGR,Float32,34.653183
NV12PitchLinear,Bilinear,640,360,1920,1080,NCHW_BGR,Float32,74.411011
NV12PitchLinear,Nearest,640,360,2560,1440,NCHW_BGR,Float32,56.246273
NV12PitchLinear,Bilinear,640,360,2560,1440,NCHW_BGR,Float32,126.059517
NV12PitchLinear,Nearest,640,360,3840,2160,NCHW_BGR,Float32,117.474304
NV12PitchLinear,Bilinear,640,360,3840,2160,NCHW_BGR,Float32,262.776825
NV12PitchLinear,Nearest,1280,720,1920,1080,NCHW_BGR,Float32,38.879230
NV12PitchLinear,Bilinear,1280,720,1920,1080,NCHW_BGR,Float32,78.714882
NV12PitchLinear,Nearest,1280,720,2560,1440,NCHW_BGR,Float32,63.429630
NV12PitchLinear,Bilinear,1280,720,2560,1440,NCHW_BGR,Float32,134.323196
NV12PitchLinear,Nearest,1280,720,3840,2160,NCHW_BGR,Float32,129.154053
NV12PitchLinear,Bilinear,1280,720,3840,2160,NCHW_BGR,Float32,283.298828
NV12PitchLinear,Nearest,1920,1080,2560,1440,NCHW_BGR,Float32,68.234238
NV12PitchLinear,Bilinear,1920,1080,2560,1440,NCHW_BGR,Float32,137.583618
NV12PitchLinear,Nearest,1920,1080,3840,2160,NCHW_BGR,Float32,139.007996
NV12PitchLinear,Bilinear,1920,1080,3840,2160,NCHW_BGR,Float32,295.678986
NV12PitchLinear,Nearest,2560,1440,3840,2160,NCHW_BGR,Float32,146.779129
NV12PitchLinear,Bilinear,2560,1440,3840,2160,NCHW_BGR,Float32,296.772614
NV12PitchLinear,Nearest,3840,2160,2560,1440,NCHW_RGB,Float32,79.504387
NV12PitchLinear,Bilinear,3840,2160,2560,1440,NCHW_RGB,Float32,142.606339
NV12PitchLinear,Nearest,3840,2160,1920,1080,NCHW_RGB,Float32,48.642048
NV12PitchLinear,Bilinear,3840,2160,1920,1080,NCHW_RGB,Float32,85.278717
NV12PitchLinear,Nearest,3840,2160,1280,720,NCHW_RGB,Float32,16.902143
NV12PitchLinear,Bilinear,3840,2160,1280,720,NCHW_RGB,Float32,45.942783
NV12PitchLinear,Nearest,3840,2160,640,360,NCHW_RGB,Float32,7.126016
NV12PitchLinear,Bilinear,3840,2160,640,360,NCHW_RGB,Float32,11.623424
NV12PitchLinear,Nearest,2560,1440,1920,1080,NCHW_RGB,Float32,44.997631
NV12PitchLinear,Bilinear,2560,1440,1920,1080,NCHW_RGB,Float32,79.460350
NV12PitchLinear,Nearest,2560,1440,1280,720,NCHW_RGB,Float32,15.774720
NV12PitchLinear,Bilinear,2560,1440,1280,720,NCHW_RGB,Float32,35.976192
NV12PitchLinear,Nearest,2560,1440,640,360,NCHW_RGB,Float32,6.806528
NV12PitchLinear,Bilinear,2560,1440,640,360,NCHW_RGB,Float32,12.152832
NV12PitchLinear,Nearest,1920,1080,1280,720,NCHW_RGB,Float32,15.849472
NV12PitchLinear,Bilinear,1920,1080,1280,720,NCHW_RGB,Float32,33.472511
NV12PitchLinear,Nearest,1920,1080,640,360,NCHW_RGB,Float32,6.531072
NV12PitchLinear,Bilinear,1920,1080,640,360,NCHW_RGB,Float32,11.186176
NV12PitchLinear,Nearest,1280,720,640,360,NCHW_RGB,Float32,6.466560
NV12PitchLinear,Bilinear,1280,720,640,360,NCHW_RGB,Float32,10.875904
NV12PitchLinear,Nearest,640,360,1280,720,NCHW_RGB,Float32,15.015936
NV12PitchLinear,Bilinear,640,360,1280,720,NCHW_RGB,Float32,31.866880
NV12PitchLinear,Nearest,640,360,1920,1080,NCHW_RGB,Float32,34.594814
NV12PitchLinear,Bilinear,640,360,1920,1080,NCHW_RGB,Float32,73.395203
NV12PitchLinear,Nearest,640,360,2560,1440,NCHW_RGB,Float32,56.227840
NV12PitchLinear,Bilinear,640,360,2560,1440,NCHW_RGB,Float32,125.074432
NV12PitchLinear,Nearest,640,360,3840,2160,NCHW_RGB,Float32,117.493759
NV12PitchLinear,Bilinear,640,360,3840,2160,NCHW_RGB,Float32,260.254730
NV12PitchLinear,Nearest,1280,720,1920,1080,NCHW_RGB,Float32,39.052288
NV12PitchLinear,Bilinear,1280,720,1920,1080,NCHW_RGB,Float32,77.528061
NV12PitchLinear,Nearest,1280,720,2560,1440,NCHW_RGB,Float32,63.385601
NV12PitchLinear,Bilinear,1280,720,2560,1440,NCHW_RGB,Float32,133.616638
NV12PitchLinear,Nearest,1280,720,3840,2160,NCHW_RGB,Float32,129.224701
NV12PitchLinear,Bilinear,1280,720,3840,2160,NCHW_RGB,Float32,278.908936
NV12PitchLinear,Nearest,1920,1080,2560,1440,NCHW_RGB,Float32,68.204544
NV12PitchLinear,Bilinear,1920,1080,2560,1440,NCHW_RGB,Float32,135.353348
NV12PitchLinear,Nearest,1920,1080,3840,2160,NCHW_RGB,Float32,138.944519
NV12PitchLinear,Bilinear,1920,1080,3840,2160,NCHW_RGB,Float32,292.934662
NV12PitchLinear,Nearest,2560,1440,3840,2160,NCHW_RGB,Float32,146.763779
NV12PitchLinear,Bilinear,2560,1440,3840,2160,NCHW_RGB,Float32,292.380676
NV12PitchLinear,Nearest,3840,2160,2560,1440,NHWC_BGR,Float16,62.852097
NV12PitchLinear,Bilinear,3840,2160,2560,1440,NHWC_BGR,Float16,107.784195
NV12PitchLinear,Nearest,3840,2160,1920,1080,NHWC_BGR,Float16,38.359039
NV12PitchLinear,Bilinear,3840,2160,1920,1080,NHWC_BGR,Float16,65.522690
NV12PitchLinear,Nearest,3840,2160,1280,720,NHWC_BGR,Float16,15.731712
NV12PitchLinear,Bilinear,3840,2160,1280,720,NHWC_BGR,Float16,30.107649
NV12PitchLinear,Nearest,3840,2160,640,360,NHWC_BGR,Float16,5.996544
NV12PitchLinear,Bilinear,3840,2160,640,360,NHWC_BGR,Float16,9.722880
NV12PitchLinear,Nearest,2560,1440,1920,1080,NHWC_BGR,Float16,34.607105
NV12PitchLinear,Bilinear,2560,1440,1920,1080,NHWC_BGR,Float16,59.731968
NV12PitchLinear,Nearest,2560,1440,1280,720,NHWC_BGR,Float16,15.220736
NV12PitchLinear,Bilinear,2560,1440,1280,720,NHWC_BGR,Float16,28.010496
NV12PitchLinear,Nearest,2560,1440,640,360,NHWC_BGR,Float16,6.098944
NV12PitchLinear,Bilinear,2560,1440,640,360,NHWC_BGR,Float16,9.606144
NV12PitchLinear,Nearest,1920,1080,1280,720,NHWC_BGR,Float16,15.100928
NV12PitchLinear,Bilinear,1920,1080,1280,720,NHWC_BGR,Float16,27.712511
NV12PitchLinear,Nearest,1920,1080,640,360,NHWC_BGR,Float16,6.198272
NV12PitchLinear,Bilinear,1920,1080,640,360,NHWC_BGR,Float16,9.567232
NV12PitchLinear,Nearest,1280,720,640,360,NHWC_BGR,Float16,6.060032
NV12PitchLinear,Bilinear,1280,720,640,360,NHWC_BGR,Float16,9.453568
NV12PitchLinear,Nearest,640,360,1280,720,NHWC_BGR,Float16,15.240192
NV12PitchLinear,Bilinear,640,360,1280,720,NHWC_BGR,Float16,27.536385
NV12PitchLinear,Nearest,640,360,1920,1080,NHWC_BGR,Float16,30.426111
NV12PitchLinear,Bilinear,640,360,1920,1080,NHWC_BGR,Float16,57.405441
NV12PitchLinear,Nearest,640,360,2560,1440,NHWC_BGR,Float16,56.454144
NV12PitchLinear,Bilinear,640,360,2560,1440,NHWC_BGR,Float16,101.309441
NV12PitchLinear,Nearest,640,360,3840,2160,NHWC_BGR,Float16,119.730179
NV12PitchLinear,Bilinear,640,360,3840,2160,NHWC_BGR,Float16,224.080902
NV12PitchLinear,Nearest,1280,720,1920,1080,NHWC_BGR,Float16,30.955521
NV12PitchLinear,Bilinear,1280,720,1920,1080,NHWC_BGR,Float16,57.893887
NV12PitchLinear,Nearest,1280,720,2560,1440,NHWC_BGR,Float16,57.855999
NV12PitchLinear,Bilinear,1280,720,2560,1440,NHWC_BGR,Float16,102.235138
NV12PitchLinear,Nearest,1280,720,3840,2160,NHWC_BGR,Float16,123.495422
NV12PitchLinear,Bilinear,1280,720,3840,2160,NHWC_BGR,Float16,226.749435
NV12PitchLinear,Nearest,1920,1080,2560,1440,NHWC_BGR,Float16,59.268097
NV12PitchLinear,Bilinear,1920,1080,2560,1440,NHWC_BGR,Float16,102.504448
NV12PitchLinear,Nearest,1920,1080,3840,2160,NHWC_BGR,Float16,126.394371
NV12PitchLinear,Bilinear,1920,1080,3840,2160,NHWC_BGR,Float16,227.555328
NV12PitchLinear,Nearest,2560,1440,3840,2160,NHWC_BGR,Float16,128.248825
NV12PitchLinear,Bilinear,2560,1440,3840,2160,NHWC_BGR,Float16,228.288513
NV12PitchLinear,Nearest,3840,2160,2560,1440,NHWC_RGB,Float16,62.871552
NV12PitchLinear,Bilinear,3840,2160,2560,1440,NHWC_RGB,Float16,109.384705
NV12PitchLinear,Nearest,3840,2160,1920,1080,NHWC_RGB,Float16,38.346752
NV12PitchLinear,Bilinear,3840,2160,1920,1080,NHWC_RGB,Float16,65.669121
NV12PitchLinear,Nearest,3840,2160,1280,720,NHWC_RGB,Float16,15.545344
NV12PitchLinear,Bilinear,3840,2160,1280,720,NHWC_RGB,Float16,29.931520
NV12PitchLinear,Nearest,3840,2160,640,360,NHWC_RGB,Float16,5.989376
NV12PitchLinear,Bilinear,3840,2160,640,360,NHWC_RGB,Float16,9.722880
NV12PitchLinear,Nearest,2560,1440,1920,1080,NHWC_RGB,Float16,34.599937
NV12PitchLinear,Bilinear,2560,1440,1920,1080,NHWC_RGB,Float16,60.306431
NV12PitchLinear,Nearest,2560,1440,1280,720,NHWC_RGB,Float16,15.211520
NV12PitchLinear,Bilinear,2560,1440,1280,720,NHWC_RGB,Float16,27.900928
NV12PitchLinear,Nearest,2560,1440,640,360,NHWC_RGB,Float16,6.050816
NV12PitchLinear,Bilinear,2560,1440,640,360,NHWC_RGB,Float16,9.703424
NV12PitchLinear,Nearest,1920,1080,1280,720,NHWC_RGB,Float16,14.912512
NV12PitchLinear,Bilinear,1920,1080,1280,720,NHWC_RGB,Float16,27.541504
NV12PitchLinear,Nearest,1920,1080,640,360,NHWC_RGB,Float16,6.113280
NV12PitchLinear,Bilinear,1920,1080,640,360,NHWC_RGB,Float16,9.562112
NV12PitchLinear,Nearest,1280,720,640,360,NHWC_RGB,Float16,5.985280
NV12PitchLinear,Bilinear,1280,720,640,360,NHWC_RGB,Float16,9.442304
NV12PitchLinear,Nearest,640,360,1280,720,NHWC_RGB,Float16,14.967808
NV12PitchLinear,Bilinear,640,360,1280,720,NHWC_RGB,Float16,27.483135
NV12PitchLinear,Nearest,640,360,1920,1080,NHWC_RGB,Float16,29.733889
NV12PitchLinear,Bilinear,640,360,1920,1080,NHWC_RGB,Float16,57.302017
NV12PitchLinear,Nearest,640,360,2560,1440,NHWC_RGB,Float16,56.517632
NV12PitchLinear,Bilinear,640,360,2560,1440,NHWC_RGB,Float16,101.343231
NV12PitchLinear,Nearest,640,360,3840,2160,NHWC_RGB,Float16,119.895042
NV12PitchLinear,Bilinear,640,360,3840,2160,NHWC_RGB,Float16,223.718399
NV12PitchLinear,Nearest,1280,720,1920,1080,NHWC_RGB,Float16,30.540800
NV12PitchLinear,Bilinear,1280,720,1920,1080,NHWC_RGB,Float16,57.877502
NV12PitchLinear,Nearest,1280,720,2560,1440,NHWC_RGB,Float16,58.074112
NV12PitchLinear,Bilinear,1280,720,2560,1440,NHWC_RGB,Float16,101.656578
